day_of_week,day_name,hour,mean_fraction,std_fraction,mean_fraction_res,mean_fraction_commute,mean_fraction_retail,mean_fraction_school_primary,mean_fraction_school_postprimary,mean_fraction_school_tertiary
0,Mon,00:00,0.0053551718015558,0.0015296359255355804,0.0013721696,0.0032112805,0.0005559934,0.0000000000,0.0000000000,0.0157357505
0,Mon,01:00,0.0032753650441289094,0.0011969463903299194,0.0010630924,0.0030720645,0.0004839335,0.0000000000,0.0000000000,0.0126661328
0,Mon,02:00,0.00258176306998142,0.001031510792578849,0.0005057615,0.0029708364,0.0004211761,0.0009772921,0.0009772921,0.0092022809
0,Mon,03:00,0.002915766388552911,0.00162275632392871,0.0004742721,0.0064326792,0.0006628007,0.0010999699,0.0010999699,0.0110473376
0,Mon,04:00,0.005611371790548316,0.0039116727995068086,0.0009106621,0.0203200831,0.0018940527,0.0002178557,0.0002178557,0.0218188287
0,Mon,05:00,0.012316650154715472,0.005279932111129281,0.0011573933,0.0285560415,0.0025870262,0.0006219779,0.0006219779,0.0512549832
0,Mon,06:00,0.03141261322065607,0.010981989910255181,0.0044876015,0.0996558084,0.0117103879,0.0049363600,0.0049363600,0.1288262588
0,Mon,07:00,0.06380544350733926,0.018558878827186428,0.0147393206,0.2063209676,0.0337542915,0.1005566213,0.1005566213,0.1769723814
0,Mon,08:00,0.07525996826994467,0.014638938520998514,0.0261452457,0.1500600740,0.0684819140,0.4164029183,0.4164029183,0.0851060661
0,Mon,09:00,0.05848646293663055,0.006787265395464502,0.0432692091,0.0409381052,0.0785708346,0.0645873501,0.0645873501,0.0411467907
0,Mon,10:00,0.054746264670632934,0.00438436663633481,0.0495091527,0.0208416456,0.0921716760,0.0060064009,0.0060064009,0.0173405819
0,Mon,11:00,0.05961380228989323,0.004552421144235696,0.0505729553,0.0198488949,0.0978808411,0.0200627860,0.0200627860,0.0160454235
0,Mon,12:00,0.06372330250656359,0.0053285582843468566,0.0553890005,0.0291544845,0.0878778647,0.0195007143,0.0195007143,0.0232471372
0,Mon,13:00,0.06592009511238382,0.005222260367297195,0.0495506949,0.0375158440,0.0761868439,0.0106342779,0.0106342779,0.0381247325
0,Mon,14:00,0.06823969123554478,0.005368773708067472,0.0564457152,0.0447259255,0.0743266608,0.1756885127,0.1756885127,0.0390954577
0,Mon,15:00,0.07369595742172631,0.0061293421434533615,0.0704466034,0.0683288212,0.0726830486,0.3459639950,0.3459639950,0.0357121553
0,Mon,16:00,0.08315066653917184,0.010091280812366871,0.0880918491,0.1399917818,0.0759946925,0.0958804449,0.0958804449,0.1133904841
0,Mon,17:00,0.0835647703691395,0.011450594483694542,0.0998378400,0.1619637743,0.0708722589,0.0529798257,0.0529798257,0.1446223911
