session_id,session_label,session_mode,session_start,session_end,event_type,timestamp,direction,directionMode,lat,lng,gps_accuracy_m
1e5a1f70,"18/06/2026, 22:27:01",dual,2026-06-18T21:27:07.503Z,2026-06-18T21:28:30.671Z,gps_track,2026-06-18T21:27:06.999Z,,,54.59733304171824,-5.706853578779159,6
1e5a1f70,"18/06/2026, 22:27:01",dual,2026-06-18T21:27:07.503Z,2026-06-18T21:28:30.671Z,gps_track,2026-06-18T21:27:27.999Z,,,54.5974373227552,-5.707038946256954,6
1e5a1f70,"18/06/2026, 22:27:01",dual,2026-06-18T21:27:07.503Z,2026-06-18T21:28:30.671Z,gps_track,2026-06-18T21:27:48.999Z,,,54.597562296870116,-5.7072106169179975,6
1e5a1f70,"18/06/2026, 22:27:01",dual,2026-06-18T21:27:07.503Z,2026-06-18T21:28:30.671Z,car,2026-06-18T21:28:08.679Z,with,both,54.597647794536016,-5.707394368095093,5
1e5a1f70,"18/06/2026, 22:27:01",dual,2026-06-18T21:27:07.503Z,2026-06-18T21:28:30.671Z,gps_track,2026-06-18T21:28:08.998Z,,,54.597653626403485,-5.707405138236456,5
1e5a1f70,"18/06/2026, 22:27:01",dual,2026-06-18T21:27:07.503Z,2026-06-18T21:28:30.671Z,gps_track,2026-06-18T21:28:28.998Z,,,54.59774230610268,-5.707583680154302,6
01a116d1,"18/06/2026, 22:28:30",dual,2026-06-18T21:28:37.025Z,2026-06-18T21:30:07.614Z,gps_track,2026-06-18T21:28:35.999Z,,,54.597756989586856,-5.707631218032973,6
01a116d1,"18/06/2026, 22:28:30",dual,2026-06-18T21:28:37.025Z,2026-06-18T21:30:07.614Z,car,2026-06-18T21:28:55.993Z,against,both,54.59764638459358,-5.707355603422501,5
01a116d1,"18/06/2026, 22:28:30",dual,2026-06-18T21:28:37.025Z,2026-06-18T21:30:07.614Z,gps_track,2026-06-18T21:28:56.999Z,,,54.597633068423576,-5.707328528378851,5
01a116d1,"18/06/2026, 22:28:30",dual,2026-06-18T21:28:37.025Z,2026-06-18T21:30:07.614Z,car,2026-06-18T21:29:06.904Z,against,both,54.597578751457554,-5.707242704946074,5
01a116d1,"18/06/2026, 22:28:30",dual,2026-06-18T21:28:37.025Z,2026-06-18T21:30:07.614Z,gps_track,2026-06-18T21:29:16.999Z,,,54.59751402263419,-5.70712704576057,5
01a116d1,"18/06/2026, 22:28:30",dual,2026-06-18T21:28:37.025Z,2026-06-18T21:30:07.614Z,gps_track,2026-06-18T21:29:37.999Z,,,54.59740723667846,-5.706960374364594,5
01a116d1,"18/06/2026, 22:28:30",dual,2026-06-18T21:28:37.025Z,2026-06-18T21:30:07.614Z,gps_track,2026-06-18T21:29:58.999Z,,,54.59729843976434,-5.706787953768642,5
9bf148d0,"18/06/2026, 22:31:24",dual,2026-06-18T21:31:27.012Z,2026-06-18T21:32:43.306Z,gps_track,2026-06-18T21:31:25.999Z,,,54.59726822416418,-5.7068626282032895,6
